measureId,precool,reset,event_hour,alpha_1,beta_1,alpha_2,beta_2,alpha_3,beta_3
GTA-10-14-0-14-18-6-LTG-0,0,6,1,0.18687496278820806,-11.267682141772827,0.8199658012348054,-59.103114823810564,0.8199658012348054,-59.103114823810564
GTA-10-14-0-14-18-6-LTG-0,0,6,2,0.2093470272404512,-12.368589289274194,0.8075257907835829,-57.09153656591288,0.8075257907835829,-57.09153656591288
GTA-10-14-0-14-18-6-LTG-0,0,6,3,0.22765962720743743,-13.21868285337468,0.8456808894608296,-59.58884280790746,0.8456808894608296,-59.58884280790746
GTA-10-14-0-14-18-6-LTG-0,0,6,4,0.1241486591794685,-7.461519655614168,0.7303574561088922,-52.53656683428944,0.7303574561088922,-52.53656683428944
GTA-10-14-2-14-18-2-LTG-0,2,2,1,0.21012318244203768,-12.978711330526044,0.8097512143466779,-57.9592825556814,0.8097512143466779,-57.9592825556814
GTA-10-14-2-14-18-2-LTG-0,2,2,2,0.2182572178828644,-13.040977376265518,0.6952711574660391,-48.34840582451322,0.6952711574660391,-48.34840582451322
GTA-10-14-2-14-18-2-LTG-0,2,2,3,0.23321427977595893,-13.686687457448002,0.6774050632280155,-46.794369979959285,0.6774050632280155,-46.794369979959285
GTA-10-14-2-14-18-2-LTG-0,2,2,4,0.10989173467448209,-6.502290371345011,0.5351437003384457,-37.7630399192218,0.5351437003384457,-37.7630399192218
GTA-10-14-2-14-18-3-LTG-0,2,3,1,0.2110321312028414,-13.032498338603702,0.8499395469509237,-61.02212970052654,0.8499395469509237,-61.02212970052654
GTA-10-14-2-14-18-3-LTG-0,2,3,2,0.2208674182220289,-13.199507222251102,0.7932274290614241,-55.81020423988879,0.7932274290614241,-55.81020423988879
GTA-10-14-2-14-18-3-LTG-0,2,3,3,0.23704188572800072,-13.917404989959952,0.8050439367163943,-56.397913744787225,0.8050439367163943,-56.397913744787225
GTA-10-14-2-14-18-3-LTG-0,2,3,4,0.11418466141420805,-6.756144395637268,0.6194074113698884,-43.97333414018268,0.6194074113698884,-43.97333414018268
GTA-10-14-2-14-18-4-LTG-0,2,4,1,0.21101698818914416,-13.03160443256378,0.8571786451130341,-61.58010454588679,0.8571786451130341,-61.58010454588679
GTA-10-14-2-14-18-4-LTG-0,2,4,2,0.22083596295690386,-13.19757876824407,0.8179992006422812,-57.71758887983811,0.8179992006422812,-57.71758887983811
GTA-10-14-2-14-18-4-LTG-0,2,4,3,0.2375507748468763,-13.94848941345515,0.8460956872979206,-59.51169532695609,0.8460956872979206,-59.51169532695609
GTA-10-14-2-14-18-4-LTG-0,2,4,4,0.11500161904349786,-6.805388529006797,0.6796796825401912,-48.491530341482395,0.6796796825401912,-48.491530341482395
GTA-10-14-2-14-18-5-LTG-0,2,5,1,0.2110112006693702,-13.031252899457362,0.8572748546776393,-61.58756284851747,0.8572748546776393,-61.58756284851747
GTA-10-14-2-14-18-5-LTG-0,2,5,2,0.2208427653519787,-13.197998245252638,0.8182188050811924,-57.73461280032353,0.8182188050811924,-57.73461280032353
GTA-10-14-2-14-18-5-LTG-0,2,5,3,0.2375597265749169,-13.949041637341706,0.851939896591098,-59.95704811478298,0.851939896591098,-59.95704811478298
GTA-10-14-2-14-18-5-LTG-0,2,5,4,0.11503605458962408,-6.807488455858207,0.7253254552557858,-52.01242465941609,0.7253254552557858,-52.01242465941609
GTA-10-14-2-14-18-6-LTG-0,2,6,1,0.211034174267761,-13.03255228517996,0.857276352434224,-61.5877641547052,0.857276352434224,-61.5877641547052
GTA-10-14-2-14-18-6-LTG-0,2,6,2,0.2208690456225437,-13.19952992661279,0.8182448194364268,-57.736382314362594,0.8182448194364268,-57.736382314362594
GTA-10-14-2-14-18-6-LTG-0,2,6,3,0.23759943572152062,-13.951404584610179,0.8523951783313013,-59.991908317557154,0.8523951783313013,-59.991908317557154
GTA-10-14-2-14-18-6-LTG-0,2,6,4,0.11506962379360201,-6.809405962368379,0.7375689516822542,-52.964820844470275,0.7375689516822542,-52.964820844470275
