measureId,precool,reset,event_hour,alpha_1,beta_1,alpha_2,beta_2,alpha_3,beta_3
GTA-10-14-0-14-18-6-LTG-0,0,6,1,0.004811840490139492,-0.2835329346888679,0.02887651052767511,-2.10977146612084,0.02887651052767511,-2.10977146612084
GTA-10-14-0-14-18-6-LTG-0,0,6,2,0.005599398306472457,-0.33069730752098747,0.027662582615402175,-1.9914511067374405,0.027662582615402175,-1.9914511067374405
GTA-10-14-0-14-18-6-LTG-0,0,6,3,0.006392767935617963,-0.36990034341843625,0.02955778332345881,-2.1174303670890113,0.02955778332345881,-2.1174303670890113
GTA-10-14-0-14-18-6-LTG-0,0,6,4,0.002161489375365289,-0.11514899431440657,0.02234520261833351,-1.633211404973305,0.02234520261833351,-1.633211404973305
GTA-10-14-2-14-18-2-LTG-0,2,2,1,0.005332904008020495,-0.3164759931535297,0.028499983991753037,-2.0722771844822088,0.028499983991753037,-2.0722771844822088
GTA-10-14-2-14-18-2-LTG-0,2,2,2,0.005867110478648613,-0.3475991621698602,0.024055566291394933,-1.7104596919580788,0.024055566291394933,-1.7104596919580788
GTA-10-14-2-14-18-2-LTG-0,2,2,3,0.006562859037102817,-0.3799298470516796,0.024022072301008203,-1.6957294593636376,0.024022072301008203,-1.6957294593636376
GTA-10-14-2-14-18-2-LTG-0,2,2,4,0.0024616715448906533,-0.13579588350659372,0.016888092519815552,-1.2184591859133922,0.016888092519815552,-1.2184591859133922
GTA-10-14-2-14-18-3-LTG-0,2,3,1,0.0053561549900408125,-0.3178564860193605,0.02984647250229606,-2.1753655215450083,0.02984647250229606,-2.1753655215450083
GTA-10-14-2-14-18-3-LTG-0,2,3,2,0.005933635200940435,-0.3516421128172698,0.027274901082003682,-1.9563343379186648,0.027274901082003682,-1.9563343379186648
GTA-10-14-2-14-18-3-LTG-0,2,3,3,0.006663747910321958,-0.3860127184474706,0.02826677022504468,-2.0161845892052073,0.02826677022504468,-2.0161845892052073
GTA-10-14-2-14-18-3-LTG-0,2,3,4,0.002553879529216941,-0.14125429221149738,0.019346996082861154,-1.401658453880997,0.019346996082861154,-1.401658453880997
GTA-10-14-2-14-18-4-LTG-0,2,4,1,0.005355804584436968,-0.3178358382561009,0.030085858409313375,-2.19386537343994,0.030085858409313375,-2.19386537343994
GTA-10-14-2-14-18-4-LTG-0,2,4,2,0.005932796592650865,-0.3515906886135681,0.028092234971755663,-2.0193825122288187,0.028092234971755663,-2.0193825122288187
GTA-10-14-2-14-18-4-LTG-0,2,4,3,0.006677339651774408,-0.3868429321091749,0.029631829943338028,-2.1200097797922015,0.029631829943338028,-2.1200097797922015
GTA-10-14-2-14-18-4-LTG-0,2,4,4,0.0025714148359522503,-0.1423112805482444,0.021016921699169085,-1.5275688244836843,0.021016921699169085,-1.5275688244836843
GTA-10-14-2-14-18-5-LTG-0,2,5,1,0.005355644039549247,-0.3178260758713473,0.03008900735719606,-2.194109556504885,0.03008900735719606,-2.194109556504885
GTA-10-14-2-14-18-5-LTG-0,2,5,2,0.005932994052753103,-0.35160285291157817,0.028099323540221245,-2.0199326344283715,0.028099323540221245,-2.0199326344283715
GTA-10-14-2-14-18-5-LTG-0,2,5,3,0.006677606512730001,-0.38685938313788754,0.029818735799636783,-2.1342716800705577,0.029818735799636783,-2.1342716800705577
GTA-10-14-2-14-18-5-LTG-0,2,5,4,0.0025722123881987405,-0.14235990806358984,0.022247299465072708,-1.6225755034696332,0.022247299465072708,-1.6225755034696332
GTA-10-14-2-14-18-6-LTG-0,2,6,1,0.005356213008778656,-0.31785831380502516,0.030089091074373166,-2.194118807982424,0.030089091074373166,-2.194118807982424
GTA-10-14-2-14-18-6-LTG-0,2,6,2,0.00593364540813666,-0.35164086852652504,0.028100148550562046,-2.019989155771493,0.028100148550562046,-2.019989155771493
GTA-10-14-2-14-18-6-LTG-0,2,6,3,0.006678663702817896,-0.3869223541438966,0.029833223387455896,-2.1353809633010257,0.029833223387455896,-2.1353809633010257
GTA-10-14-2-14-18-6-LTG-0,2,6,4,0.002572896683650292,-0.14239896219861056,0.022595896383329064,-1.649698003264813,0.022595896383329064,-1.649698003264813
