site_id,site_name,short_name,construction,year_built,year_renovated,zip_code,city,state,CEC_CZ,ASHRAE_CZ,bldg_type_sub,bldg_type,number_floor,total_floor_area_ft2,conditioned_floor_area_ft2,peak_kW,hvac_type,hvac_plant,hvac_capacity,hvac_system,hvac_size_tons_sf,dr_strategy_implemented_1,dr_strategy_implemented_2,dr_strategy_implemented_3,dr_strategy_implemented_4,measure_code,baseline_model,reference
22,"Contra Costa County, 2530 Arnold",2530 Arnold,,1987,,94553,Martinez,CA,3,3C,Office,Office,1,131000,131000,528.00,,,,,,None.,Zone setpoint increased 2 ¡F. (76 ¡F to 78 ¡F),Zone setpoint 4 ¡F up. (80 ¡F),VAV boxes are released one by one over a short interval.,CDB10,OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
23,"Contra Costa County, 50 Douglas",50 Douglas,,1985,,94553,Martinez,CA,3,3C,Office,Office,1,90000,90000,422.00,,,,,,None.,Zone setpoint increased 2 ¡F. (76 ¡F to 78 ¡F),Zone setpoint 4 ¡F up. (80 ¡F),VAV boxes are released one by one over a short interval.,CDB10,OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
24,"Echelon, San Jose Headquarter",Echelon,,2001,,95126,San Jose,CA,4,3C,"Corporate
Headquarter",Office,1,75000,75000,403.00,,,,,,None.,"Hallway lighting turned off where there is ambient light
Daylit office lights turned off
Inner office lights dimmed to 20%","1 of 3 RTU turned off.
DSP reduced from 1.5"" to 0.8""
SAT increased from 55 to 65¡F.",None.,"CDA40, CDA12, CDB50, CDB40",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
25,Fremont Unified School Irvington,Irvington,,1961,,94538,Fremont,CA,3,3C,Highschool,School,1,186000,186000,N/A,,,,,,"Precooling to 72 ¡F until
11:50 a.m.",Raise temperature to 78¡F until 2:50 p.m.,"Turn off systems at 2:50pm. School closes at
3pm. Office areas drift.",None.,"CDB10, CDB11",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
26,"Gilead Science, 300 Lake",Gilead 300,,1990,,94404,Foster City,CA,3,3C,Office,Office,1,83000,83000,N/A,,,,,,"Shed control
starts at 11 am.","AHU increase SAT from 55¡F
to 65 ¡F.",Same as moderate price.,None.,"CDB10, CDB40",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
27,"Gilead Science, 342 Lake",Gilead 342,,1990,,94404,Foster City,CA,3,3C,"Office, Lab",Office+Lab,1,32000,32000,464.00,,,,,,Shed control starts at 11 am,"AHU increase SAT from 55¡F to 65 ¡F.
Zone setpoint increase to 75¡F (70 - 75 ¡F normal).",Same as moderate price.,None.,"CDB10, CDB40",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
28,"Gilead Science, 357 Lake",Gilead 357,,1990,,94404,Foster City,CA,3,3C,"Office, Lab",Office+Lab,1,33000,33000,664.00,,,,,,Shed control starts at 11 am,"AHU SAT increased from 55¡F to 65 ¡F.
Zone setpoint increased to 75¡F (70 - 75 ¡F normal).",Same as moderate price.,None.,"CDB10, CDB40",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
29,IKEA East Palo Alto Store,IKEA,,2000,,94303,Palo Alto,CA,4,3C,Retail,Retail,1,300000,300000,2238.00,,,,,,None.,"Zone setpoint increased 2 ¡F
at each RTU.","Zone setpoints increased
to 76 ¡F.",None.,CDB10,OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
30,LBNL OSF,LBNL OSF,,1999,,94612,Oakland,CA,3,3C,"Data center, Office",Office+DataCenter,1,90000,70000,2189.00,,,,,,"Zone setpoint - 0 to 2¡F decrease
in the morning for pre cooling.",Zone setpoint 2 - 6 ¡F up.,Zone setpoints increased a maximum of 6 ¡F up.,None.,"CDB10, CDB11",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
31,"Oracle Corporation, Rocklin",Oracle,,1998,,95765,Rocklin,CA,11,3B,Office,Office,2,100000,100000,808.00,,,,,,None.,"DSP reduced 20% at supply fans.
Shut off 3 of 12 RTUs
in the sales area (building has 23 RTUs total).
Shut off 5 RTUs in the sales area after October 6th.
Limit chiller demand to 80%.","Zone setpoints increased 3¡F.
Turn off every fourth light fixture in the sales area.
Limit chiller demand to 65%.",None.,"CDA12, CDB10, CDB50, CDA40",OAT_MA,"Piette, M. A., D. Watson, N. Motegi, S. Kiliccote, and P. Xu. 2006. Automated Critical Peak Pricing Field Tests: Program Description and Results."
