site_id,site_name,data_source,short_name,construction,year_built,year_renovated,zip_code,city,state,CEC_CZ,ASHRAE_CZ,bldg_type_sub,bldg_type,number_floor,total_floor_area_ft2,conditioned_floor_area_ft2,peak_kW,hvac_type,hvac_plant,hvac_type_desc,hvac_plant_desc,hvac_capacity,hvac_system,hvac_size_tons_sf,dr_strategy_implemented_1,dr_strategy_implemented_2,dr_strategy_implemented_3,dr_strategy_implemented_4,measure_code,baseline_model,reference
56,LBNL 50B,field-testing,,concrete,2012,2012,94720,Berkeley,CA,3,3C,data center,DataCenter,,5000,,550,Chiller + AHU + VAV,,NetApp,SDSC,UC Berkeley,,,"Server and CRAC unit shutdown
Load Shifting or Queuing IT jobs Ð Server idling
Temperature set point adjustment
Shutdown and idling of IT storage clusters",,,,"CDB10, CDA30",10/10 baselines with morning adjustment,"Ghatikar, Girish, Venkata Ganti, Nance Matson, and Mary Ann Piette. 2012. Demand Response Opportunities and Enabling Technologies for Data Centers: Findings from Field Studies."
57,San Diego Supercomputer Center,field-testing,SDSC,,1985,,92037,La Jolla,CA,7,3B,,DataCenter,,19000,,2300,Chiller + AHU + VAV,,,,,,,Load migration between heterogeneous systems.,,,,CDA30,10/10 baselines with morning adjustment,"Ghatikar, Girish, Venkata Ganti, Nance Matson, and Mary Ann Piette. 2012. Demand Response Opportunities and Enabling Technologies for Data Centers: Findings from Field Studies."
58,University of California,field-testing,UC Berkeley,,,,94702,Berkeley,CA,3,3C,,DataCenter,,10000,,1000,Chiller + AHU + VAV,,,,,,,Load migration between homogeneous systems6,,,,CDA30,10/10 baselines with morning adjustment,"Ghatikar, Girish, Venkata Ganti, Nance Matson, and Mary Ann Piette. 2012. Demand Response Opportunities and Enabling Technologies for Data Centers: Findings from Field Studies."
59,Three Carnegie Plaza,field-testing,,concrete,2003,,92408,San Bernardino,CA,10,3B,Office,Office,,83698,,311,Package RTU + VAV,,Packaged DX Units,,2 @ 50 Ton,VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. ÒStudy on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.Ó Energy and Buildings 42(7):967Ð75."
60,Two Carnegie Plaza,field-testing,,concrete,1990,,92408,San Bernardino,CA,10,3B,Office,Office,,68955,,293,Package RTU + VAV,,Packaged DX Units,,"2 @ 55 Ton
2 @ 50 Ton",VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. ÒStudy on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.Ó Energy and Buildings 42(7):967Ð75."
61,One Carnegie Plaza,field-testing,,concrete,1988,,92408,San Bernardino,CA,10,3B,Office,Office,,62800,,368,Package RTU + VAV,,Packaged DX Units,,"2 @ 55 Ton
2 @ 50 Ton",VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. ÒStudy on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.Ó Energy and Buildings 42(7):967Ð75."
62,One Carnegie Plaza (smaller one),field-testing,,concrete,1988,,92408,San Bernardino,CA,10,3B,Office,Office,,38808,,221,Package RTU + VAV,,Packaged DX Units,,"1 @ 50 Ton
1 @ 60 Ton",VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. ÒStudy on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.Ó Energy and Buildings 42(7):967Ð75."
63,One Vanderbilt,field-testing,,steel frame,1988,,92408,San Bernardino,CA,10,3B,Office,Office,,73730,,445,Package RTU + VAV,,Packaged DX Units,,"3 @ 55 Ton
1 @ 60 Ton",VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. ÒStudy on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.Ó Energy and Buildings 42(7):967Ð75."
64,One Parkside,field-testing,,steel frame,1993,,92408,San Bernardino,CA,10,3B,Office,Office,,70069,,342,Package RTU + VAV,,Packaged DX Units,,4 @ 55 Ton,VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. ÒStudy on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.Ó Energy and Buildings 42(7):967Ð75."
65,Lakeside Tower,field-testing,,steel frame,1990,,92408,San Bernardino,CA,10,3B,Office,Office,,112717,,558,Chiller + AHU + VAV,,Central Chiller (reciprocating),,2 @ 175 Ton,VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. ÒStudy on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.Ó Energy and Buildings 42(7):967Ð75."
66,Two Parkside,field-testing,,steel frame,2001,,92408,San Bernardino,CA,10,3B,Office (90%)+Classroom (10%),Office,,80750,,417,Package RTU + VAV,,Packaged DX Units,,2 @ 90 Ton,VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. ÒStudy on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.Ó Energy and Buildings 42(7):967Ð75."
67,Brier Corporate Center,field-testing,,steel frame,2005,,92408,San Bernardino,CA,10,3B,Office+Data Center,Office+DataCenter,,104501,,473,Package RTU + VAV,,Packaged DX Units,,"1 @ 80 Ton
2 @ 75 Ton",VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. ÒStudy on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.Ó Energy and Buildings 42(7):967Ð75."
68,Vanderbilt Plaza,field-testing,,steel frame,2002,,92408,San Bernardino,CA,10,3B,Office (75%)+Classroom (25%),Office,,119035,,563,Package RTU + VAV,,Packaged DX Units,,"2 @ 55 Ton
2 @ 50 Ton",VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. ÒStudy on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.Ó Energy and Buildings 42(7):967Ð75."
69,Inland Regional Center,field-testing,,concrete,1994,,92408,San Bernardino,CA,10,3B,Office (75%)+Auditorium (25%),Office,,81079,,524,Package RTU + VAV,,Packaged DX Units,,"2 @ 105 Ton
2 @ 90 Ton",VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. ÒStudy on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.Ó Energy and Buildings 42(7):967Ð75."
70,CHCCC,field-testing,Cigna,concrete,1999,,93277,Visalia,CA,13,3B,Office,Office,,87000,,700,Package RTU + VAV,,rooftop AHU,,8@ 50Ton,VAV,,The pre-cooling and zone temperature reset strategies,,,,"CDB10, CDB11",baseline days for each test day were selected based on similarity of peak outside air temperature,"Xu, P, Yin, R., Brown, C., & Kim, D. E. (2009). Demand Shifting with Thermal Mass in Large Commercial Buildings in a California Hot Climate Zone."
71,TCCSB,field-testing,TCCSB,steel frame,2000,,92408,San Bernadino,CA,10,3B,Office,Office,,104500,,500,Package RTU + VAV,,Packaged DX Units,,,VAV,,,,,,"CDB10, CDB11",baseline days for each test day were selected based on similarity of peak outside air temperature,"Xu, P, Yin, R., Brown, C., & Kim, D. E. (2009). Demand Shifting with Thermal Mass in Large Commercial Buildings in a California Hot Climate Zone."
72,Santa Rosa Federal Building,field-testing,,concrete,1975,,95404,Santa Rosa,CA,2,3C,Office,Office,,80000,,350,Chiller + AHU + VAV,,chiller,,"3@ 75Ton
2@ 60Ton",VAV,,The pre-cooling and zone temperature reset strategies,,,,"CDB10, CDB11",baseline days for each test day were selected based on similarity of peak outside air temperature,"Xu, Peng, Haves, P., Piette, M., Berkeley National Laboratory, L., Zagreus, L., & of California at Berkeley, U. (2006). DEMAND SHIFTING WITH THERMAL MASS IN LARGE COMMERICAL BUILDINGS: FILED TESTS, SIMULATIONS AND AUDITS California Energy Commission."
73,McCuen Center One,field-testing,McCuen Properties,concrete,2001,,95864,Sacramento,CA,12,3B,Office+courtroom,Office,,84000,,300,Package RTU + VAV,,rooftop package units,,,VAV,,The pre-cooling and zone temperature reset strategies,,,,"CDB10, CDB11",baseline days for each test day were selected based on similarity of peak outside air temperature,"Xu, Peng, Haves, P., Piette, M., Berkeley National Laboratory, L., Zagreus, L., & of California at Berkeley, U. (2006). DEMAND SHIFTING WITH THERMAL MASS IN LARGE COMMERICAL BUILDINGS: FILED TESTS, SIMULATIONS AND AUDITS California Energy Commission."
74,Retail C1,field-testing,Retail C1,,,,92101,San Diego,CA,7,3B,retail,Retail,,4000,,31,Package RTU,,4 RTUs,,,,,Pre-cool to 70 DegF 1 hr prior to the event,"Increase zone temperature setpoint to 78 DegF, turn
fans to AUTO mode, group RTUs by two's and15 min. duty cycle. Turn off 50% of 89-Watt fluorescent fixtures and 100% 32-Watt fluorescent U-tube
fixtures. Shut off hot water heater.","Stagger out slowly to
avoid a rebound",,"CDB10, CDA12, CDA40","CBP baseline model
Morning adjusted CBP
OAT regression","Schwarzenegger, A. (2008). AUTOMATION OF CAPACITY BIDDING WITH AN AGGREGATOR USING OPEN AUTOMATED DEMAND RESPONSE PIER FINAL PROJECT REPORT California Energy Commission."
75,Retail C2,field-testing,Retail C2,,,,92101,San Diego,CA,7,3B,retail,Retail,,5800,,59,Package RTU,,4 RTUs,,,,,Pre-cool to 70 DegF 1 hr prior to the event,"Increase zone temperature setpoint to 78 DegF, turn fans to AUTO mode, group RTUs by two's and15 min. duty cycle. Turn off 75% of 89-Watt fluorescent fixtures and 50% 32-Watt fluorescent U-tube
fixtures. Shut off hot water heater.",Stagger out slowly to avoid a rebound,,"CDB10, CDA12, CDA40","CBP baseline model
Morning adjusted CBP
OAT regression","Schwarzenegger, A. (2008). AUTOMATION OF CAPACITY BIDDING WITH AN AGGREGATOR USING OPEN AUTOMATED DEMAND RESPONSE PIER FINAL PROJECT REPORT California Energy Commission."
76,Retail C3,field-testing,Retail C3,,,,92101,San Diego,CA,7,3B,retail,Retail,,5400,,62,Package RTU,,4 RTUs,,,,,Pre-cool to 70 DegF 1 hr prior to the event,"Increase zone temperature setpoint to 78 DegF, turn fans to AUTO mode, group RTUs by two's and 15 min. duty cycle. Turn off 50% of 89-Watt fluorescent fixtures and 100% 32-Watt fluorescent U-tube
fixtures. Shut off hot water heater.",Stagger out slowly to avoid a rebound,,"CDB10, CDA12, CDA40","CBP baseline model
Morning adjusted CBP
OAT regression","Schwarzenegger, A. (2008). AUTOMATION OF CAPACITY BIDDING WITH AN AGGREGATOR USING OPEN AUTOMATED DEMAND RESPONSE PIER FINAL PROJECT REPORT California Energy Commission."
77,Retail C4,field-testing,Retail C4,,,,92101,San Diego,CA,7,3B,retail,Retail,,5000,,40,Package RTU,,5 RTUs,,,,,Pre-cool to 70 DegF 1 hr prior to the event,"Increase zone temperature setpoint to 78 DegF, turn fans to AUTO mode, group RTUs by two's and 15 min. duty cycle. Turn off 50% of all lighting. Shut
off hot water heater.",Stagger out slowly to avoid a rebound,,"CDB10, CDA12, CDA40","CBP baseline model
Morning adjusted CBP
OAT regression","Schwarzenegger, A. (2008). AUTOMATION OF CAPACITY BIDDING WITH AN AGGREGATOR USING OPEN AUTOMATED DEMAND RESPONSE PIER FINAL PROJECT REPORT California Energy Commission."
78,Retail C5,field-testing,Retail C5,,,,92101,San Diego,CA,7,3B,retail,Retail,,4436,,10,Package RTU,,4 RTUs,,,,,Pre-cool to 70 DegF 1 hr prior to the event,"Increase zone temperature setpoint to 78 DegF, turn fans to AUTO mode, group RTUs by two's and 15 min. duty cycle. Turn off 50% of 89-Watt fluorescent fixtures and 100% 32-Watt fluorescent U-tube fixtures and 100% halogen fixtures. Shut off hot
water heater.",Stagger out slowly to avoid a rebound,,"CDB10, CDA12, CDA40","CBP baseline model
Morning adjusted CBP
OAT regression","Schwarzenegger, A. (2008). AUTOMATION OF CAPACITY BIDDING WITH AN AGGREGATOR USING OPEN AUTOMATED DEMAND RESPONSE PIER FINAL PROJECT REPORT California Energy Commission."
79,Retail C6,field-testing,Retail C6,,,,92101,San Diego,CA,7,3B,retail,Retail,,23000,,112,Package RTU,,1 AHU,,,,,Pre-cool to 70 DegF 1 hr prior to the event,"Increase zone temperature setpoint to 78 DegF, disable the baler, shut off hot water heater. Turn off 50% of 59-Watt fluorescent fixtures.",No,,"CDB10, CDA12, CDA40","CBP baseline model
Morning adjusted CBP
OAT regression","Schwarzenegger, A. (2008). AUTOMATION OF CAPACITY BIDDING WITH AN AGGREGATOR USING OPEN AUTOMATED DEMAND RESPONSE PIER FINAL PROJECT REPORT California Energy Commission."
80,GSA,field-testing,GSA,steel frame,1993,,94612,Oakland,CA,3,3C,Office,Office,,978000,,4100,Chiller + AHU + VAV,,Dual duct system. Fully DDC VAV boxes,3 water-cooled chillers 2 air-cooled chillers 6 cooling towers,,,,"Global zone set- point increase
Direct control of fans",,,,CDB10,"OAT regression (Whole-Building Level Method)
Component Level Method","Piette, M A, Watson, D. S., Motegi, N., & Bourassa, N. (2005). Findings from the 2004 Fully Automated Demand Response Tests in Large Facilities."
81,University of California at Merced,field-testing,UCM,,2005,,95340,Merced,CA,12,3B,,Education,,800000,,3000,Chiller + AHU + VAV,,,,,VAV,,chilled water storage + GTA,,,,"CDB10, CDA12","three-in-ten (3/10) baseline
morning-adjusted outside air
temperature regression (OAT_MA),","Granderson, J., Dudley, J. H., Kiliccote, S., & Piette, M. A. (2009). Chilled Water Storage System and Demand Response at the University of California at Merced and published in the Proceedings."
82,Taco Bell,field-testing,,,,,92675,San Juan Capistrano,CA,6,3B,restaurant,Restaurant,,2200,,10,Package RTU,,,,,,,precool+GTA,,,,"CDB10, CDB11","3/10_MA
OAT_MA
3/10","Kiliccote, S, Piette, M. A., Dudley, J. H., Koch, E., & Akuacom, D. H. (2009). Open Automated Demand Response for Small Commercial Buildings."
83,SDH,field-testing,UC Berkeley Sutardja Dai Hall,,2009,,94720,Berkeley,CA,3,3C,Large Commercial,Office,,141000,,480,Chiller + AHU + VAV,,,,,,,"Control of VAVs, fans, Lighting w/ a BAS",,,,"CDA40, CDA11","3/10_MA
OAT_MA
3/10","Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
84,Large Commercial 1,field-testing,SDH,,2009,,94720,Berkeley,CA,3,3C,Large Commercial,Office,,141000,,578,Chiller + AHU + VAV,,110,0.19,578.9473684,,,"Control of VAVs, fans, Lighting w/ a BAS",,,,"CDA40, CDA11","3/10_MA
OAT_MA
3/10","Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
85,Small Commercial 1,field-testing,Small Commercial 1,,2000,,95110,San Jose,CA,4,3C,Small Commercial 1,Office,,5900,,29.41,Package RTU + VAV,,5,0.17,29.41176471,,,"Control of Tstats
(Split system)",,,,CDB10,OAT,"Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
86,Small Commercial 2,field-testing,Small Commercial 2,,2000,,95110,San Jose,CA,4,3C,Small Commercial 2,Office,,6250,,18.08,Package RTU + VAV,,9.4,0.52,18.07692308,,,Control of Tstats,,,,CDB10,OAT,"Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
87,Small Commercial 3,field-testing,Small Commercial 3,,2000,,95110,San Jose,CA,4,3C,"Small Commercial
3",Office,,14400,,40,Package RTU + VAV,,14.8,0.37,40,,,Control of Tstats,,,,CDB10,OAT,"Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
88,Small Commercial 4,field-testing,Small Commercial 4,,2000,,95110,San Jose,CA,4,3C,Small Commercial 4,Office,,9500,,24.38,Package RTU + VAV,,3.9,0.16,24.375,,,Control of Tstats,,,,CDB10,OAT,"Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
89,Residential 1,field-testing,Residential 1,,2000,,95202,Stockton,CA,12,3B,Residential 1,Residential,,2076,,5.88,HVAC Split System,,5,0.85,5.882352941,,,"VRV limiting -
mini split system",,,,CDA12,OAT,"Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
90,Residential 2,field-testing,Residential 2,,2000,,95202,Stockton,CA,12,3B,"Residential
2",Residential,,1690,,3.75,HVAC Split System,,3,0.8,3.75,,,"compressor
off/on",,,,CDA12,OAT,"Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
91,Residential 3,field-testing,Residential 3,,2000,,95202,Stockton,CA,12,3B,"Residential
3",Residential,,1140,,3.75,HVAC Split System,,3,0.8,3.75,,,"compressor
off/on",,,,CDA12,OAT,"Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
92,Residential 4,field-testing,Residential 4,,2000,,94612,Oakland,CA,3,3C,Residential 4,Residential,,1400,,2,HVAC Split System,,0.5,0.25,2,,,,,,,CDA12,OAT,"Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
93,McKinstry,field-testing,McK,,1950,,98134,Seattle,WA,#N/A,4C,office,Office,,100000,,347,Package RTU + VAV,,23 RTU,,,7VAV+16 CAV,,Uniformly turn off half of the 23 roof-top units for 15 minutes and alternate with the remaining units every 15 minutes,Stage turning on equipment every 2 minutes,,,CDA12,OAT,"Kiliccote, S, Piette, M. A., & Dudley, J. H. (2009). Northwest Open Automated Demand Response Technology Demonstration Project."
94,Target-T1284,field-testing,Target,,,,98125,Seattle,WA,#N/A,4C,retail,Retail,,165667,,685,Package RTU,,RTU,,,VAV,,"Turn off 50% of sales area lights, turn off two out of 12 roof- top units and decrease setpoints by 2 ¼F",,,,"CDB10, CDA40",Average of similar day baseline,"Kiliccote, S, Piette, M. A., & Dudley, J. H. (2009). Northwest Open Automated Demand Response Technology Demonstration Project."
95,Target-T0637,field-testing,Target,,,,98126,Seattle,WA,#N/A,4C,retail,Retail,,99471,,225,Package RTU,,RTU,,,VAV,,"Turn off 50% of sales area lights, turn off two out of 12 roof- top units and decrease setpoints by 2 ¼F",,,,"CDB10, CDA40",Average of similar day baseline,"Kiliccote, S, Piette, M. A., & Dudley, J. H. (2009). Northwest Open Automated Demand Response Technology Demonstration Project."
96,Seattle Municipal tower,field-testing,SMT,,1990,,98104,Seattle,WA,#N/A,4C,office,Office,,1200000,,6168,Chiller + AHU + VAV,,48 AHU,,,690 VAV,,Decrease setpoints from 72 ¼F to 68 ¼F on selected 24 floors out of 62 floors. Cycle VAV boxes (690) and corresponding air handling units (AHUs) (48).,Set setpoints back 1¼ every 15 minutes and bring back quarter of the equipment on line every five minutes.,,,CDB10,Average of similar day baseline,"Kiliccote, S, Piette, M. A., & Dudley, J. H. (2009). Northwest Open Automated Demand Response Technology Demonstration Project."
97,Seattle University,field-testing,SU,,1990,,98122,Seattle,WA,#N/A,4C,education,Education,,99840,,841,Chiller + AHU + VAV,,4 AHU,,,102 VAV,,Pre-heat at 5 am at 74 ¼F (only on the day-ahead days because pending signal for day-of events are received at 6 am) Decrease set point to 68 ¼F. Cycle cabinet heaters (7) and unit heaters (2) 20 minutes every 30 minute. Cycle through half of variable air volume (VAV)/Air terminal boxes (75) and AHU fans (4) every half hour. Set CO2 setpoint up by 200 ppm. Turn off hot water panel radiator.,"Return setpoints to original levels (maximum rate of setpoint change is 1¼ per 15 minutes) and turn half of units on, then turn remainder of units on five minutes later",,,CDB10,Average of similar day baseline,"Kiliccote, S, Piette, M. A., & Dudley, J. H. (2009). Northwest Open Automated Demand Response Technology Demonstration Project."
98,NY Office 1,field-testing,,,1958,,10004,New York,NY,#N/A,4A,office,Office,,160000,1400000,6190,Chiller + AHU + VAV,,,,"3@1350 ton
1@900 ton",CAV with reheat,,Table 4 summarized,,,,"CDB10, CDA40, CDA13",NYISO's Weather-Sensitive Customer Baseline6,"Kim, Joyce Jihyun, Rongxin Yin, and Sila Kiliccote. 2013. LBNL-6470E Automated Demand Response Technologies and Demonstration in New York City Using OpenADR."
99,NY Office 2,field-testing,,,1986,,10281,New York,NY,#N/A,4A,office,Office,,1700000,,3940,Chiller + AHU + VAV,,,,"1@2300 ton
1@2100 ton
1@1600 ton",VAV with reheat,,,,,,"CDB10, CDA40, CDA13",NYISO's Weather-Sensitive Customer Baseline7,"Kim, Joyce Jihyun, Rongxin Yin, and Sila Kiliccote. 2013. LBNL-6470E Automated Demand Response Technologies and Demonstration in New York City Using OpenADR."
100,NY Office 3,field-testing,,,1964,,10019,New York,NY,#N/A,4A,office,Office,,1400000,,4640,Chiller + AHU + VAV,,VSD,,1@400 ton,VAV with reheat,,,,,,"CDB10, CDA40, CDA13",NYISO's Weather-Sensitive Customer Baseline8,"Kim, Joyce Jihyun, Rongxin Yin, and Sila Kiliccote. 2013. LBNL-6470E Automated Demand Response Technologies and Demonstration in New York City Using OpenADR."
101,NYU,field-testing,,,1910,,10003,New York,NY,#N/A,4A,campus,Office,,122000,,600,Chiller + AHU + VAV,,VSD,,1@400 ton,VAV with reheat,,,,,,"CDB10, CDA40, CDA13",NYISO's Weather-Sensitive Customer Baseline9,"Kim, Joyce Jihyun, Rongxin Yin, and Sila Kiliccote. 2013. LBNL-6470E Automated Demand Response Technologies and Demonstration in New York City Using OpenADR."
102,71 Stevenson,field-testing,71 Stevenson,,1987,,94105,San Francisco,CA,3,3C,office,Office,,323000,323000,1063,Chiller + AHU + VAV,,,,,,,global temperature adjustment of 4 ûF and static reset of 0.2 in. w.g.,,,,"CDB10, CDB50",10/10_MA_CBL,PGE ADR Project
103,CDPH Richmond Building P,field-testing,CDPH Richmond LEED Silver EStart 100,,2005,,94804,Richmond,CA,3,3C,State Government,Office,,205153,205153,1889,Chiller + AHU + VAV,,,,,,,"Global temperature adjustment of 78F, Reduce VFD speeds by 10%, Supply temperature reset of 4 degrees, Chiller water temperature increase of
6 degrees",,,,"CDB10, CDA11, CDB40, CDB20",10/10_MA_CBL,PGE ADR Project
104,CDPH Richmond Building A-K,field-testing,CDPH Richmond,,2009,,94804,Richmond,CA,3,3C,State Government,Office,,492000,492000,3497,Chiller + AHU + VAV,,,,,,,"Global temperature adjustment of 78F, Reduce VFD speeds by 10%, Supply temperature reset of 4 degrees, Chiller water temperature increase of
6 degrees",,,,"CDB10, CDA11, CDB40, CDB20",10/10_MA_CBL,PGE ADR Project
105,"Kilroy LP, 100 1st Street",field-testing,Kilroy LP,,1988,,94105,San Francisco,CA,3,3C,office,Office,,446490,446490,1598,Chiller + AHU + VAV,,,,,,,Reduce AHU and central plant demand to 50%,,,,"CDA11, CDA12",10/10_MA_CBL,PGE ADR Project
106,"Kilroy LP, 303 2nd Street",field-testing,Kilroy LP,,1988,,94107,San Francisco,CA,3,3C,office,Office,,740047,740047,2692,Chiller + AHU + VAV,,,,,,,Reduce AHU and central plant demand to 50%,,,,"CDA11, CDA12",10/10_MA_CBL,PGE ADR Project
107,"Kilroy LP, 370 3rd Street",field-testing,Kilroy LP,,1975,,94107,San Francisco,CA,3,3C,office,Office,,408331,408331,1407,Chiller + AHU + VAV,,,,,,,Reduce AHU and central plant demand to 50%,,,,"CDA11, CDA12",10/10_MA_CBL,PGE ADR Project
108,"Kilroy LP, 201 3rd Street",field-testing,Kilroy LP,,1983,,94107,San Francisco,CA,3,3C,office,Office,,346538,346538,881,Chiller + AHU + VAV,,,,,,,Reduce AHU and central plant demand to 50%,,,,"CDA11, CDA12",10/10_MA_CBL,PGE ADR Project
109,VISA 800 Metro Center,field-testing,Visa,,1996,,94404,Foster City,CA,3,3C,office,Office,,296086,296086,948,Chiller + AHU + VAV,,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure, Dim down lights by 30%",,,,"CDB10, CDA40, CDB50",10/10_MA_CBL,PGE ADR Project
110,VISA 900 Metro Center,field-testing,Visa,,1993,,94404,Foster City,CA,3,3C,office,Office,,277767,277767,1308,Chiller + AHU + VAV,,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure, Dim down lights by 40%",,,,"CDB10, CDA40, CDB50",10/10_MA_CBL,PGE ADR Project
111,VISA 801 Metro Center,field-testing,Visa,LEED,2002,,94404,Foster City,CA,3,3C,office,Office,,208398,208398,720,Chiller + AHU + VAV,,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure, Dim down lights by 40%",,,,"CDB10, CDA40, CDB50",10/10_MA_CBL,PGE ADR Project
112,VISA 901 Metro Center,field-testing,Visa,,1999,,94404,Foster City,CA,3,3C,office,Office,,167436,167436,576,Chiller + AHU + VAV,,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure, Dim down lights by 40%",,,,"CDB10, CDA40, CDB50",10/10_MA_CBL,PGE ADR Project
113,VISA 800 Metro Center GTA,field-testing,Visa,,1996,,94404,Foster City,CA,3,3C,office,Office,,296086,296086,948,Chiller + AHU + VAV,,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure",,,,"CDB10, CDB50",10/10_MA_CBL,PGE ADR Project
114,VISA 900 Metro Center GTA,field-testing,Visa,,1993,,94404,Foster City,CA,3,3C,office,Office,,277767,277767,1308,Chiller + AHU + VAV,,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure",,,,"CDB10, CDB50",10/10_MA_CBL,PGE ADR Project
115,VISA 801 Metro Center GTA,field-testing,Visa,LEED,2002,,94404,Foster City,CA,3,3C,office,Office,,208398,208398,720,Chiller + AHU + VAV,,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure",,,,"CDB10, CDB50",10/10_MA_CBL,PGE ADR Project
116,VISA 901 Metro Center GTA,field-testing,Visa,,1999,,94404,Foster City,CA,3,3C,office,Office,,167436,167436,576,Chiller + AHU + VAV,,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure",,,,"CDB10, CDB50",10/10_MA_CBL,PGE ADR Project
117,CA DGS Harris Building,field-testing,,,1998,,94612,"1515 CLAY ST, Oakland",CA,3,3C,Government offices,Office,,700589,700589,1760,Chiller + AHU + VAV,,,,,,,"Raise temperature by 4 degrees, Lower duct static pressure",,,,"CDB10, CDB50",10/10_MA_CBL,PGE ADR Project
118,JEWISH COMMUNITY CENTER,field-testing,,,1933,1991,94118,"3200 California Street, San Francisco",,3,3C,Community center,Office,,61750,61750,,Package RTU + VAV,,,,,,,,,,,CDB10,,PGE ADR Project
