site_name,Baseline,DR-Event-Day,DR-StartTime,DR-EndTime,kW_Max,kW_Ave,kW_Min,WBP%_Max,WBP%_Avg,WBP%_Min,W/ft2_Max,W/ft2_Avg,W/ft2_Min,source
GSA Ronald V. Dellums Oakland Federal Building,OAT_MA_CBL,9/8/04,13:45,14:45,1080.00,1058.00,,0.30,0.29,,1.10,1.08,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA Ronald V. Dellums Oakland Federal Building,OAT_MA_CBL,9/8/04,14:45,15:45,1043.00,847.00,,0.29,0.24,,1.07,0.87,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA Ronald V. Dellums Oakland Federal Building,OAT_MA_CBL,9/21/04,13:15,14:15,221.00,172.00,,0.09,0.07,,0.23,0.18,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA Ronald V. Dellums Oakland Federal Building,OAT_MA_CBL,9/21/04,14:15,15:15,162.00,150.00,,0.07,0.06,,0.17,0.15,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA Ronald V. Dellums Oakland Federal Building,OAT_MA_CBL,9/21/04,15:15,16:15,221.00,190.00,,0.09,0.08,,0.23,0.19,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA Ronald V. Dellums Oakland Federal Building,OAT_MA_CBL,11/5/04,12:45,13:45,102.00,63.00,,0.05,0.03,,0.10,0.06,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA Ronald V. Dellums Oakland Federal Building,OAT_MA_CBL,11/5/04,13:45,14:45,214.00,179.00,,0.10,0.09,,0.22,0.18,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA Ronald V. Dellums Oakland Federal Building,OAT_MA_CBL,11/5/04,14:45,15:45,133.00,103.00,,0.06,0.05,,0.14,0.11,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Kadant Grantek,OAT_MA_CBL,11/5/04,,,,,,,,,,,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Monterey Commerce Center,OAT_MA_CBL,11/5/04,,,,,,,,,,,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
OSIsoft,OAT_MA_CBL,11/5/04,12:45,13:45,-1.00,-4.00,,-0.01,-0.02,,-0.02,-0.07,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
