site_name,data_source,Baseline,DR-Program,DR-Event-Day,DR-StartTime,DR-EndTime,max_oat,kW_Max,kW_Ave,kW_Min,WBP%_Max,WBP%_Avg,WBP%_Min,W/ft2_Max,W/ft2_Avg,W/ft2_Min,source
Echelon San Jose Headquarter,field-testing,OAT_MA_CBL,,10/13/04,12:45,13:45,,21,3,,0.03,0.02,,0.1,0.05,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Echelon San Jose Headquarter,field-testing,OAT_MA_CBL,,10/13/04,13:45,14:45,,47,33,,0.56,0.42,,1.81,1.34,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Echelon San Jose Headquarter,field-testing,OAT_MA_CBL,,10/13/04,14:45,15:45,,42,-8,,0.48,0.11,,1.52,0.36,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Echelon San Jose Headquarter,field-testing,OAT_MA_CBL,,11/5/04,12:45,13:45,,7,4,,0.03,0.02,,0.1,0.05,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Echelon San Jose Headquarter,field-testing,OAT_MA_CBL,,11/5/04,13:45,14:45,,136,100,,0.56,0.42,,1.81,1.34,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
Echelon San Jose Headquarter,field-testing,OAT_MA_CBL,,11/5/04,14:45,15:45,,114,27,,0.48,0.11,,1.52,0.36,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA Phillip Burton San Francisco Federal Building,field-testing,OAT_MA_CBL,,11/5/04,12:45,13:45,,-111,-162,,-0.07,-0.1,,-0.08,-0.11,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA Phillip Burton San Francisco Federal Building,field-testing,OAT_MA_CBL,,11/5/04,13:45,14:45,,-38,-124,,-0.03,-0.08,,-0.03,-0.09,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA Phillip Burton San Francisco Federal Building,field-testing,OAT_MA_CBL,,11/5/04,14:45,15:45,,87,22,,0.06,0.02,,0.06,0.02,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA National Archives & Records Administration,field-testing,OAT_MA_CBL,,11/5/04,12:45,13:45,,1,-5,,0,-0.02,,0,-0.02,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA National Archives & Records Administration,field-testing,OAT_MA_CBL,,11/5/04,13:45,14:45,,15,6,,0.08,0.03,,0.08,0.03,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA National Archives & Records Administration,field-testing,OAT_MA_CBL,,11/5/04,14:45,15:45,,29,23,,0.28,0.19,,0.14,0.11,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA Ronald V. Dellums Oakland Federal Building,field-testing,OAT_MA_CBL,,9/8/04,12:45,13:45,,975,528,,0.28,0.15,,1,0.54,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA Ronald V. Dellums Oakland Federal Building,field-testing,OAT_MA_CBL,,9/8/04,13:45,14:45,,1080,1058,,0.3,0.29,,1.1,1.08,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA Ronald V. Dellums Oakland Federal Building,field-testing,OAT_MA_CBL,,9/8/04,14:45,15:45,,1043,847,,0.29,0.24,,1.07,0.87,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA Ronald V. Dellums Oakland Federal Building,field-testing,OAT_MA_CBL,,9/21/04,13:15,14:15,,221,172,,0.09,0.07,,0.23,0.18,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA Ronald V. Dellums Oakland Federal Building,field-testing,OAT_MA_CBL,,9/21/04,14:15,15:15,,162,150,,0.07,0.06,,0.17,0.15,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA Ronald V. Dellums Oakland Federal Building,field-testing,OAT_MA_CBL,,9/21/04,15:15,16:15,,221,190,,0.09,0.08,,0.23,0.19,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA Ronald V. Dellums Oakland Federal Building,field-testing,OAT_MA_CBL,,11/5/04,12:45,13:45,,102,63,,0.05,0.03,,0.1,0.06,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA Ronald V. Dellums Oakland Federal Building,field-testing,OAT_MA_CBL,,11/5/04,13:45,14:45,,214,179,,0.1,0.09,,0.22,0.18,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
GSA Ronald V. Dellums Oakland Federal Building,field-testing,OAT_MA_CBL,,11/5/04,14:45,15:45,,133,103,,0.06,0.05,,0.14,0.11,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
OSIsoft,field-testing,OAT_MA_CBL,,11/5/04,12:45,13:45,,-1,-4,,-0.01,-0.02,,-0.02,-0.07,,"Piette, M. A., Watson, D. S., Motegi, N., & Bourassa, N. (2005). Automated Demand Response and Commissioning."
