,precool_deg,reset_deg,max_oat,shed_W_ft2,"Vintage, Climate"
860,3,6,69.98,0.364941407,"1980-2004, 3C"
861,4,4,69.98,0.33222434,"1980-2004, 3C"
862,4,5,69.98,0.356656586,"1980-2004, 3C"
863,4,6,69.98,0.366176713,"1980-2004, 3C"
864,0,4,71.06,0.290424609,"1980-2004, 3C"
865,0,5,71.06,0.341980824,"1980-2004, 3C"
866,0,6,71.06,0.368911939,"1980-2004, 3C"
867,2,4,71.06,0.318409974,"1980-2004, 3C"
868,2,5,71.06,0.3565399,"1980-2004, 3C"
869,2,6,71.06,0.370952078,"1980-2004, 3C"
870,3,4,71.06,0.33122095,"1980-2004, 3C"
871,3,5,71.06,0.363556725,"1980-2004, 3C"
872,3,6,71.06,0.372312287,"1980-2004, 3C"
873,4,4,71.06,0.342430779,"1980-2004, 3C"
874,4,5,71.06,0.367755529,"1980-2004, 3C"
875,4,6,71.06,0.37159679,"1980-2004, 3C"
876,0,4,66.02,0.31890922,"1980-2004, 3C"
877,0,5,66.02,0.366652739,"1980-2004, 3C"
878,0,6,66.02,0.401466204,"1980-2004, 3C"
879,2,4,66.02,0.347470285,"1980-2004, 3C"
880,2,5,66.02,0.385475912,"1980-2004, 3C"
881,2,6,66.02,0.412567239,"1980-2004, 3C"
882,3,4,66.02,0.358278521,"1980-2004, 3C"
883,3,5,66.02,0.393086529,"1980-2004, 3C"
884,3,6,66.02,0.415593407,"1980-2004, 3C"
885,4,4,66.02,0.369911787,"1980-2004, 3C"
886,4,5,66.02,0.40020094,"1980-2004, 3C"
887,4,6,66.02,0.416774149,"1980-2004, 3C"
888,0,4,60.98,0.295731075,"1980-2004, 3C"
889,0,5,60.98,0.33690827,"1980-2004, 3C"
890,0,6,60.98,0.366872416,"1980-2004, 3C"
891,2,4,60.98,0.318841963,"1980-2004, 3C"
892,2,5,60.98,0.352954139,"1980-2004, 3C"
893,2,6,60.98,0.375599072,"1980-2004, 3C"
894,3,4,60.98,0.329669796,"1980-2004, 3C"
895,3,5,60.98,0.359406605,"1980-2004, 3C"
896,3,6,60.98,0.377482816,"1980-2004, 3C"
897,4,4,60.98,0.33761457,"1980-2004, 3C"
898,4,5,60.98,0.364745346,"1980-2004, 3C"
899,4,6,60.98,0.379529926,"1980-2004, 3C"
900,0,4,62.96,0.236533111,"1980-2004, 3C"
901,0,5,62.96,0.265833681,"1980-2004, 3C"
902,0,6,62.96,0.280278353,"1980-2004, 3C"
903,2,4,62.96,0.248299969,"1980-2004, 3C"
904,2,5,62.96,0.271832821,"1980-2004, 3C"
905,2,6,62.96,0.280991003,"1980-2004, 3C"
906,3,4,62.96,0.253061847,"1980-2004, 3C"
907,3,5,62.96,0.274147463,"1980-2004, 3C"
908,3,6,62.96,0.281135592,"1980-2004, 3C"
909,4,4,62.96,0.258737324,"1980-2004, 3C"
910,4,5,62.96,0.274955451,"1980-2004, 3C"
911,4,6,62.96,0.281732563,"1980-2004, 3C"
912,0,4,62.96,0.268060085,"1980-2004, 3C"
913,0,5,62.96,0.305756416,"1980-2004, 3C"
914,0,6,62.96,0.333501048,"1980-2004, 3C"
915,2,4,62.96,0.286506569,"1980-2004, 3C"
916,2,5,62.96,0.319137796,"1980-2004, 3C"
917,2,6,62.96,0.338124788,"1980-2004, 3C"
918,3,4,62.96,0.297157282,"1980-2004, 3C"
919,3,5,62.96,0.325380601,"1980-2004, 3C"
920,3,6,62.96,0.33856484,"1980-2004, 3C"
921,4,4,62.96,0.304746795,"1980-2004, 3C"
922,4,5,62.96,0.33030631,"1980-2004, 3C"
923,4,6,62.96,0.340108906,"1980-2004, 3C"
924,0,4,62.96,0.274077028,"1980-2004, 3C"
925,0,5,62.96,0.312248692,"1980-2004, 3C"
926,0,6,62.96,0.340886229,"1980-2004, 3C"
927,2,4,62.96,0.293363186,"1980-2004, 3C"
928,2,5,62.96,0.32615945,"1980-2004, 3C"
929,2,6,62.96,0.349256647,"1980-2004, 3C"
930,3,4,62.96,0.303119291,"1980-2004, 3C"
931,3,5,62.96,0.332491126,"1980-2004, 3C"
932,3,6,62.96,0.350823518,"1980-2004, 3C"
933,4,4,62.96,0.311546569,"1980-2004, 3C"
934,4,5,62.96,0.338276812,"1980-2004, 3C"
935,4,6,62.96,0.35188083,"1980-2004, 3C"
936,0,4,66.02,0.305268673,"1980-2004, 3C"
937,0,5,66.02,0.352775956,"1980-2004, 3C"
938,0,6,66.02,0.386912089,"1980-2004, 3C"
939,2,4,66.02,0.332132076,"1980-2004, 3C"
940,2,5,66.02,0.371146426,"1980-2004, 3C"
941,2,6,66.02,0.399065209,"1980-2004, 3C"
942,3,4,66.02,0.34228864,"1980-2004, 3C"
943,3,5,66.02,0.379443073,"1980-2004, 3C"
944,3,6,66.02,0.403475635,"1980-2004, 3C"
945,4,4,66.02,0.353561589,"1980-2004, 3C"
946,4,5,66.02,0.385778024,"1980-2004, 3C"
947,4,6,66.02,0.405412529,"1980-2004, 3C"
948,0,4,60.08,0.12564054,"1980-2004, 3C"
949,0,5,60.08,0.129625511,"1980-2004, 3C"
950,0,6,60.08,0.129613275,"1980-2004, 3C"
951,2,4,60.08,0.127918574,"1980-2004, 3C"
952,2,5,60.08,0.128372666,"1980-2004, 3C"
953,2,6,60.08,0.128364765,"1980-2004, 3C"
954,3,4,60.08,0.12759113,"1980-2004, 3C"
955,3,5,60.08,0.127583139,"1980-2004, 3C"
956,3,6,60.08,0.127575545,"1980-2004, 3C"
957,4,4,60.08,0.128381396,"1980-2004, 3C"
958,4,5,60.08,0.128374908,"1980-2004, 3C"
959,4,6,60.08,0.128372147,"1980-2004, 3C"
960,0,4,64.04,0.234921388,"1980-2004, 3C"
961,0,5,64.04,0.258427531,"1980-2004, 3C"
962,0,6,64.04,0.264992049,"1980-2004, 3C"
963,2,4,64.04,0.245703948,"1980-2004, 3C"
964,2,5,64.04,0.25955821,"1980-2004, 3C"
965,2,6,64.04,0.264222749,"1980-2004, 3C"
966,3,4,64.04,0.250746294,"1980-2004, 3C"
967,3,5,64.04,0.261096274,"1980-2004, 3C"
968,3,6,64.04,0.264999139,"1980-2004, 3C"
969,4,4,64.04,0.254432084,"1980-2004, 3C"
970,4,5,64.04,0.262057476,"1980-2004, 3C"
971,4,6,64.04,0.26505146,"1980-2004, 3C"
972,0,4,64.04,0.224041528,"1980-2004, 3C"
973,0,5,64.04,0.23557069,"1980-2004, 3C"
974,0,6,64.04,0.236795519,"1980-2004, 3C"
975,2,4,64.04,0.229647146,"1980-2004, 3C"
976,2,5,64.04,0.235778367,"1980-2004, 3C"
977,2,6,64.04,0.235776286,"1980-2004, 3C"
978,3,4,64.04,0.232125246,"1980-2004, 3C"
979,3,5,64.04,0.235440954,"1980-2004, 3C"
980,3,6,64.04,0.235437936,"1980-2004, 3C"
981,4,4,64.04,0.23329147,"1980-2004, 3C"
982,4,5,64.04,0.234464623,"1980-2004, 3C"
983,4,6,64.04,0.234462283,"1980-2004, 3C"
984,0,4,75.92,0.357689413,"1980-2004, 3C"
985,0,5,75.92,0.43119738,"1980-2004, 3C"
986,0,6,75.92,0.491712642,"1980-2004, 3C"
987,2,4,75.92,0.397564506,"1980-2004, 3C"
988,2,5,75.92,0.465547916,"1980-2004, 3C"
989,2,6,75.92,0.512788683,"1980-2004, 3C"
990,3,4,75.92,0.416902539,"1980-2004, 3C"
991,3,5,75.92,0.479088212,"1980-2004, 3C"
992,3,6,75.92,0.523582561,"1980-2004, 3C"
993,4,4,75.92,0.435834239,"1980-2004, 3C"
994,4,5,75.92,0.492830411,"1980-2004, 3C"
995,4,6,75.92,0.532680109,"1980-2004, 3C"
996,0,4,62.96,0.192471138,"1980-2004, 3C"
997,0,5,62.96,0.202108572,"1980-2004, 3C"
998,0,6,62.96,0.202594313,"1980-2004, 3C"
999,2,4,62.96,0.195889624,"1980-2004, 3C"
1000,2,5,62.96,0.199907429,"1980-2004, 3C"
1001,2,6,62.96,0.199893768,"1980-2004, 3C"
1002,3,4,62.96,0.199082039,"1980-2004, 3C"
1003,3,5,62.96,0.200981404,"1980-2004, 3C"
1004,3,6,62.96,0.200970599,"1980-2004, 3C"
1005,4,4,62.96,0.199855795,"1980-2004, 3C"
1006,4,5,62.96,0.200286209,"1980-2004, 3C"
1007,4,6,62.96,0.200276332,"1980-2004, 3C"
1008,0,4,60.08,0.188446165,"1980-2004, 3C"
