,precool_deg,reset_deg,day,max_oat,shed_W_ft2,"Vintage, Climate"
39,0,4,7/26/06,95,0.687700784,"1980-2004, 3B"
40,0,4,7/27/06,95,0.750711447,"1980-2004, 3B"
41,0,4,7/28/06,89.6,0.653526716,"1980-2004, 3B"
42,0,4,7/31/06,91.4,0.652593338,"1980-2004, 3B"
43,0,4,8/1/06,91.4,0.637441977,"1980-2004, 3B"
44,0,4,8/2/06,93.2,0.643419466,"1980-2004, 3B"
45,0,4,8/3/06,87.8,0.530006118,"1980-2004, 3B"
46,0,4,8/4/06,87.8,0.521268782,"1980-2004, 3B"
47,0,4,8/7/06,100.4,0.97187796,"1980-2004, 3B"
48,0,4,8/8/06,102.2,1.041874148,"1980-2004, 3B"
49,0,4,8/9/06,91.4,0.720145064,"1980-2004, 3B"
50,0,4,8/10/06,89.6,0.627604245,"1980-2004, 3B"
51,0,4,8/11/06,93.2,0.68890721,"1980-2004, 3B"
52,0,4,8/14/06,93.2,0.630308441,"1980-2004, 3B"
53,0,4,8/15/06,93.2,0.711648692,"1980-2004, 3B"
54,0,4,8/16/06,98.6,0.805734968,"1980-2004, 3B"
55,0,4,8/17/06,100.4,0.917378643,"1980-2004, 3B"
56,0,4,8/18/06,95,0.771706421,"1980-2004, 3B"
57,0,4,8/21/06,82.4,0.390458495,"1980-2004, 3B"
58,0,4,8/22/06,84.2,0.460474604,"1980-2004, 3B"
59,0,4,8/23/06,84.2,0.457183758,"1980-2004, 3B"
60,0,4,8/24/06,91.4,0.663432863,"1980-2004, 3B"
61,0,4,8/25/06,95,0.768200639,"1980-2004, 3B"
62,0,4,8/28/06,102.2,1.045565397,"1980-2004, 3B"
63,0,4,8/29/06,93.2,0.74844366,"1980-2004, 3B"
64,0,4,8/30/06,80.6,0.40960844,"1980-2004, 3B"
65,0,4,8/31/06,87.8,0.553413117,"1980-2004, 3B"
66,2,4,6/1/06,87.8,0.833302294,"1980-2004, 3B"
67,2,4,6/2/06,89.6,0.893813872,"1980-2004, 3B"
68,2,4,6/5/06,82.4,0.559940616,"1980-2004, 3B"
69,2,4,6/6/06,84.2,0.627291336,"1980-2004, 3B"
70,2,4,6/7/06,78.8,0.373559733,"1980-2004, 3B"
71,2,4,6/8/06,72.32,0.344535776,"1980-2004, 3B"
72,2,4,6/9/06,77,0.450553489,"1980-2004, 3B"
73,2,4,6/12/06,89.6,0.771825577,"1980-2004, 3B"
74,2,4,6/13/06,100.4,1.176303899,"1980-2004, 3B"
75,2,4,6/14/06,107.6,1.570953617,"1980-2004, 3B"
76,2,4,6/15/06,102.2,1.455222899,"1980-2004, 3B"
77,2,4,6/16/06,98.6,1.292452177,"1980-2004, 3B"
78,2,4,6/19/06,93.2,0.849898735,"1980-2004, 3B"
79,2,4,6/20/06,96.8,1.108099997,"1980-2004, 3B"
80,2,4,6/21/06,100.4,1.281854772,"1980-2004, 3B"
81,2,4,6/22/06,89.6,0.934837302,"1980-2004, 3B"
82,2,4,6/23/06,87.8,0.770478105,"1980-2004, 3B"
83,2,4,6/26/06,96.8,1.1140872,"1980-2004, 3B"
84,2,4,6/27/06,98.6,1.248435293,"1980-2004, 3B"
85,2,4,6/28/06,96.8,1.216512006,"1980-2004, 3B"
86,2,4,6/29/06,91.4,0.938436701,"1980-2004, 3B"
87,2,4,6/30/06,84.2,0.637029943,"1980-2004, 3B"
88,2,4,7/3/06,89.6,0.846920189,"1980-2004, 3B"
89,2,4,7/4/06,89.6,-0.000435384,"1980-2004, 3B"
90,2,4,7/5/06,91.4,0.945765653,"1980-2004, 3B"
91,2,4,7/6/06,95,1.072600452,"1980-2004, 3B"
92,2,4,7/7/06,93.2,1.005301693,"1980-2004, 3B"
93,2,4,7/10/06,107.6,1.698360902,"1980-2004, 3B"
94,2,4,7/11/06,100.4,1.330276699,"1980-2004, 3B"
95,2,4,7/12/06,100.4,1.364664731,"1980-2004, 3B"
96,2,4,7/13/06,100.4,1.375085494,"1980-2004, 3B"
97,2,4,7/14/06,91.4,1.046896276,"1980-2004, 3B"
98,2,4,7/17/06,89.6,0.821689703,"1980-2004, 3B"
99,2,4,7/18/06,89.6,0.915871779,"1980-2004, 3B"
100,2,4,7/19/06,95,1.102331134,"1980-2004, 3B"
101,2,4,7/20/06,98.6,1.278843958,"1980-2004, 3B"
102,2,4,7/21/06,89.6,0.880870516,"1980-2004, 3B"
103,2,4,7/24/06,91.4,0.865817532,"1980-2004, 3B"
104,2,4,7/25/06,91.4,0.89499088,"1980-2004, 3B"
105,2,4,7/26/06,95,1.03124143,"1980-2004, 3B"
106,2,4,7/27/06,95,1.116324002,"1980-2004, 3B"
107,2,4,7/28/06,89.6,0.984460382,"1980-2004, 3B"
108,2,4,7/31/06,91.4,0.976063208,"1980-2004, 3B"
109,2,4,8/1/06,91.4,0.964985472,"1980-2004, 3B"
110,2,4,8/2/06,93.2,0.977206547,"1980-2004, 3B"
111,2,4,8/3/06,87.8,0.839859117,"1980-2004, 3B"
112,2,4,8/4/06,87.8,0.828692822,"1980-2004, 3B"
113,2,4,8/7/06,100.4,1.379100158,"1980-2004, 3B"
114,2,4,8/8/06,102.2,1.482245429,"1980-2004, 3B"
115,2,4,8/9/06,91.4,1.076557914,"1980-2004, 3B"
116,2,4,8/10/06,89.6,0.961725257,"1980-2004, 3B"
117,2,4,8/11/06,93.2,1.04392957,"1980-2004, 3B"
118,2,4,8/14/06,93.2,0.960728923,"1980-2004, 3B"
119,2,4,8/15/06,93.2,1.070166277,"1980-2004, 3B"
120,2,4,8/16/06,98.6,1.18610016,"1980-2004, 3B"
121,2,4,8/17/06,100.4,1.327276568,"1980-2004, 3B"
122,2,4,8/18/06,95,1.150189027,"1980-2004, 3B"
123,2,4,8/21/06,82.4,0.665397081,"1980-2004, 3B"
124,2,4,8/22/06,84.2,0.765529897,"1980-2004, 3B"
125,2,4,8/23/06,84.2,0.749757403,"1980-2004, 3B"
126,2,4,8/24/06,91.4,1.016093081,"1980-2004, 3B"
127,2,4,8/25/06,95,1.148915811,"1980-2004, 3B"
128,2,4,8/28/06,102.2,1.467780429,"1980-2004, 3B"
129,2,4,8/29/06,93.2,1.115880086,"1980-2004, 3B"
130,2,4,8/30/06,80.6,0.693502882,"1980-2004, 3B"
131,2,4,8/31/06,87.8,0.892417147,"1980-2004, 3B"
132,2,5,6/1/06,87.8,0.844669521,"1980-2004, 3B"
133,2,5,6/2/06,89.6,0.90783384,"1980-2004, 3B"
134,2,5,6/5/06,82.4,0.56362185,"1980-2004, 3B"
135,2,5,6/6/06,84.2,0.632647216,"1980-2004, 3B"
136,2,5,6/7/06,78.8,0.373565866,"1980-2004, 3B"
137,2,5,6/8/06,72.32,0.345324635,"1980-2004, 3B"
138,2,5,6/9/06,77,0.453702965,"1980-2004, 3B"
139,2,5,6/12/06,89.6,0.783839181,"1980-2004, 3B"
140,2,5,6/13/06,100.4,1.221812764,"1980-2004, 3B"
141,2,5,6/14/06,107.6,1.676875204,"1980-2004, 3B"
142,2,5,6/15/06,102.2,1.541262156,"1980-2004, 3B"
143,2,5,6/16/06,98.6,1.354512497,"1980-2004, 3B"
144,2,5,6/19/06,93.2,0.863503346,"1980-2004, 3B"
145,2,5,6/20/06,96.8,1.14458832,"1980-2004, 3B"
146,2,5,6/21/06,100.4,1.342477279,"1980-2004, 3B"
147,2,5,6/22/06,89.6,0.947722194,"1980-2004, 3B"
148,2,5,6/23/06,87.8,0.779118253,"1980-2004, 3B"
149,2,5,6/26/06,96.8,1.150767676,"1980-2004, 3B"
150,2,5,6/27/06,98.6,1.302321557,"1980-2004, 3B"
151,2,5,6/28/06,96.8,1.266190938,"1980-2004, 3B"
152,2,5,6/29/06,91.4,0.952102529,"1980-2004, 3B"
153,2,5,6/30/06,84.2,0.641235622,"1980-2004, 3B"
154,2,5,7/3/06,89.6,0.861629648,"1980-2004, 3B"
155,2,5,7/4/06,89.6,-0.000565734,"1980-2004, 3B"
156,2,5,7/5/06,91.4,0.965117532,"1980-2004, 3B"
157,2,5,7/6/06,95,1.104017185,"1980-2004, 3B"
158,2,5,7/7/06,93.2,1.028857095,"1980-2004, 3B"
159,2,5,7/10/06,107.6,1.833660445,"1980-2004, 3B"
160,2,5,7/11/06,100.4,1.400748517,"1980-2004, 3B"
161,2,5,7/12/06,100.4,1.448857405,"1980-2004, 3B"
162,2,5,7/13/06,100.4,1.45572106,"1980-2004, 3B"
163,2,5,7/14/06,91.4,1.074764638,"1980-2004, 3B"
164,2,5,7/17/06,89.6,0.835102233,"1980-2004, 3B"
165,2,5,7/18/06,89.6,0.931280039,"1980-2004, 3B"
166,2,5,7/19/06,95,1.138711839,"1980-2004, 3B"
167,2,5,7/20/06,98.6,1.345273126,"1980-2004, 3B"
168,2,5,7/21/06,89.6,0.896886006,"1980-2004, 3B"
169,2,5,7/24/06,91.4,0.882532077,"1980-2004, 3B"
170,2,5,7/25/06,91.4,0.914695987,"1980-2004, 3B"
171,2,5,7/26/06,95,1.060551518,"1980-2004, 3B"
172,2,5,7/27/06,95,1.156636716,"1980-2004, 3B"
173,2,5,7/28/06,89.6,1.007011656,"1980-2004, 3B"
174,2,5,7/31/06,91.4,1.000063183,"1980-2004, 3B"
175,2,5,8/1/06,91.4,0.989656465,"1980-2004, 3B"
176,2,5,8/2/06,93.2,1.003363145,"1980-2004, 3B"
177,2,5,8/3/06,87.8,0.856290091,"1980-2004, 3B"
178,2,5,8/4/06,87.8,0.8443075,"1980-2004, 3B"
179,2,5,8/7/06,100.4,1.465630848,"1980-2004, 3B"
180,2,5,8/8/06,102.2,1.585955557,"1980-2004, 3B"
181,2,5,8/9/06,91.4,1.112415017,"1980-2004, 3B"
182,2,5,8/10/06,89.6,0.987896109,"1980-2004, 3B"
183,2,5,8/11/06,93.2,1.078938049,"1980-2004, 3B"
184,2,5,8/14/06,93.2,0.991524272,"1980-2004, 3B"
185,2,5,8/15/06,93.2,1.108295626,"1980-2004, 3B"
186,2,5,8/16/06,98.6,1.244329798,"1980-2004, 3B"
187,2,5,8/17/06,100.4,1.409495441,"1980-2004, 3B"
188,2,5,8/18/06,95,1.200952585,"1980-2004, 3B"
189,2,5,8/21/06,82.4,0.674246644,"1980-2004, 3B"
190,2,5,8/22/06,84.2,0.780389398,"1980-2004, 3B"
191,2,5,8/23/06,84.2,0.757618785,"1980-2004, 3B"
192,2,5,8/24/06,91.4,1.051739952,"1980-2004, 3B"
193,2,5,8/25/06,95,1.200311848,"1980-2004, 3B"
194,2,5,8/28/06,102.2,1.568180837,"1980-2004, 3B"
195,2,5,8/29/06,93.2,1.160809341,"1980-2004, 3B"
196,2,5,8/30/06,80.6,0.704111087,"1980-2004, 3B"
197,2,5,8/31/06,87.8,0.919612258,"1980-2004, 3B"
198,2,6,6/1/06,87.8,0.851938496,"1980-2004, 3B"
199,2,6,6/2/06,89.6,0.915639353,"1980-2004, 3B"
200,2,6,6/5/06,82.4,0.566487446,"1980-2004, 3B"
201,2,6,6/6/06,84.2,0.636510449,"1980-2004, 3B"
202,2,6,6/7/06,78.8,0.373566477,"1980-2004, 3B"
203,2,6,6/8/06,72.32,0.345627147,"1980-2004, 3B"
204,2,6,6/9/06,77,0.455364367,"1980-2004, 3B"
205,2,6,6/12/06,89.6,0.791969722,"1980-2004, 3B"
206,2,6,6/13/06,100.4,1.24152317,"1980-2004, 3B"
207,2,6,6/14/06,107.6,1.745292675,"1980-2004, 3B"
208,2,6,6/15/06,102.2,1.593396354,"1980-2004, 3B"
209,2,6,6/16/06,98.6,1.387574158,"1980-2004, 3B"
210,2,6,6/19/06,93.2,0.871808525,"1980-2004, 3B"
211,2,6,6/20/06,96.8,1.160974241,"1980-2004, 3B"
212,2,6,6/21/06,100.4,1.374738387,"1980-2004, 3B"
213,2,6,6/22/06,89.6,0.954850725,"1980-2004, 3B"
214,2,6,6/23/06,87.8,0.785034737,"1980-2004, 3B"
215,2,6,6/26/06,96.8,1.167592642,"1980-2004, 3B"
216,2,6,6/27/06,98.6,1.330236193,"1980-2004, 3B"
217,2,6,6/28/06,96.8,1.289247416,"1980-2004, 3B"
218,2,6,6/29/06,91.4,0.959649428,"1980-2004, 3B"
219,2,6,6/30/06,84.2,0.644067032,"1980-2004, 3B"
220,2,6,7/3/06,89.6,0.868964697,"1980-2004, 3B"
221,2,6,7/4/06,89.6,-0.000632766,"1980-2004, 3B"
222,2,6,7/5/06,91.4,0.975098815,"1980-2004, 3B"
223,2,6,7/6/06,95,1.115825272,"1980-2004, 3B"
224,2,6,7/7/06,93.2,1.03827505,"1980-2004, 3B"
225,2,6,7/10/06,107.6,1.91840003,"1980-2004, 3B"
226,2,6,7/11/06,100.4,1.437509951,"1980-2004, 3B"
227,2,6,7/12/06,100.4,1.495476779,"1980-2004, 3B"
228,2,6,7/13/06,100.4,1.497838967,"1980-2004, 3B"
229,2,6,7/14/06,91.4,1.084716353,"1980-2004, 3B"
230,2,6,7/17/06,89.6,0.84215621,"1980-2004, 3B"
231,2,6,7/18/06,89.6,0.937696047,"1980-2004, 3B"
232,2,6,7/19/06,95,1.153612931,"1980-2004, 3B"
233,2,6,7/20/06,98.6,1.375188486,"1980-2004, 3B"
234,2,6,7/21/06,89.6,0.903978866,"1980-2004, 3B"
235,2,6,7/24/06,91.4,0.890541021,"1980-2004, 3B"
236,2,6,7/25/06,91.4,0.923773178,"1980-2004, 3B"
237,2,6,7/26/06,95,1.072440308,"1980-2004, 3B"
238,2,6,7/27/06,95,1.171886798,"1980-2004, 3B"
239,2,6,7/28/06,89.6,1.016156162,"1980-2004, 3B"
240,2,6,7/31/06,91.4,1.010505208,"1980-2004, 3B"
241,2,6,8/1/06,91.4,0.99999479,"1980-2004, 3B"
242,2,6,8/2/06,93.2,1.013921463,"1980-2004, 3B"
243,2,6,8/3/06,87.8,0.863383788,"1980-2004, 3B"
