site_id,site_name,Short Name,city,state,bldg_type_sub,bldg_type,number_floor,total_floor_area_ft2,conditioned_floor_area_ft2,peak_kW,year_constructed,construction,hvac_type,hvac_plant,hvac_capacity,hvac_system,hvac_size_tons_sf,dr_strategy_implemented_1,dr_strategy_implemented_2,dr_strategy_implemented_3,dr_strategy_implemented_4,measure_code,baseline_model,Reference
66,LBNL 50B-1275,,Berkeley,CA,data center,DataCenter,,5000,,550,Load profile,LBNL 50B,NetApp,SDSC,UC Berkeley,,,"Server and CRAC unit shutdown
Load Shifting or Queuing IT jobs Server idling
Temperature set point adjustment
Shutdown and idling of IT storage clusters",,,,"CDB10, CDA30",10/10 baselines with morning adjustment,"Ghatikar, Girish, Venkata Ganti, Nance Matson, and Mary Ann Piette. 2012. Demand Response Opportunities and Enabling Technologies for Data Centers: Findings from Field Studies."
67,Network Appliance,NetApp,,CA,,,,1100,,816,,58%,52%,71%,55%,,,"Load Shifting or Queuing IT jobs Server idling
Temperature set point adjustment
Shutdown and idling of IT storage clusters
Cooling relative to IT equipment load reduction",,,,"CDB10, CDA30",10/10 baselines with morning adjustment,"Ghatikar, Girish, Venkata Ganti, Nance Matson, and Mary Ann Piette. 2012. Demand Response Opportunities and Enabling Technologies for Data Centers: Findings from Field Studies."
68,San Diego Supercomputer Center;,SDSC,La Jolla,CA,,DataCenter,,19000,,2300,,38%,42%,28%,40%,,,Load migration between heterogeneous systems.,,,,CDA30,10/10 baselines with morning adjustment,"Ghatikar, Girish, Venkata Ganti, Nance Matson, and Mary Ann Piette. 2012. Demand Response Opportunities and Enabling Technologies for Data Centers: Findings from Field Studies."
69,University of California,UC Berkeley,Berkeley,CA,,DataCenter,,10000,,1000,,4%,6%,1%,5%,,,Load migration between homogeneous systems6,,,,CDA30,10/10 baselines with morning adjustment,"Ghatikar, Girish, Venkata Ganti, Nance Matson, and Mary Ann Piette. 2012. Demand Response Opportunities and Enabling Technologies for Data Centers: Findings from Field Studies."
70,Three Carnegie Plaza,,,CA,Office,Office,,83698,,,"2,003",Concrete,Packaged DX Units,,2 @ 50 Ton,VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. “Study on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.” Energy and Buildings 42(7):967–75."
71,Two Carnegie Plaza,,,CA,Office,Office,,68955,,,"1,990",Concrete,Packaged DX Units,,"2 @ 55 Ton
2 @ 50 Ton",VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. “Study on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.” Energy and Buildings 42(7):967–75."
72,One Carnegie Plaza,,,CA,Office,Office,,62800,,,"1,988",Concrete,Packaged DX Units,,"2 @ 55 Ton
2 @ 50 Ton",VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. “Study on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.” Energy and Buildings 42(7):967–75."
73,One Carnegie Plaza (smaller one),,,CA,Office,Office,,38808,,,"1,988",Concrete,Packaged DX Units,,"1 @ 50 Ton
1 @ 60 Ton",VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. “Study on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.” Energy and Buildings 42(7):967–75."
74,One Vanderbilt,,,CA,Office,Office,,73730,,,"1,988",Concrete,Packaged DX Units,,"3 @ 55 Ton
1 @ 60 Ton",VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. “Study on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.” Energy and Buildings 42(7):967–75."
75,One Parkside,,,CA,Office,Office,,70069,,,"1,993",Steel,Packaged DX Units,,4 @ 55 Ton,VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. “Study on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.” Energy and Buildings 42(7):967–75."
76,Lakeside Tower,,,CA,Office,Office,,112717,,,"1,990",Steel,Central Chiller (reciprocating),,2 @ 175 Ton,VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. “Study on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.” Energy and Buildings 42(7):967–75."
77,Two Parkside,,,CA,Office (90%)+Classroom (10%),Office,,80750,,,"2,001",Steel,Packaged DX Units,,2 @ 90 Ton,VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. “Study on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.” Energy and Buildings 42(7):967–75."
78,Brier Corporate Center,,,CA,Office+Data Center,Office+DataCenter,,104501,,,"2,005",Steel,Packaged DX Units,,"1 @ 80 Ton
2 @ 75 Ton",VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. “Study on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.” Energy and Buildings 42(7):967–75."
79,Vanderbilt Plaza,,,CA,Office (75%)+Classroom (25%),Office,,119035,,,"2,002",Steel,Packaged DX Units,,"2 @ 55 Ton
2 @ 50 Ton",VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. “Study on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.” Energy and Buildings 42(7):967–75."
80,Inland Regional Center,,,CA,Office (75%)+Auditorium (25%),Office,,81079,,,"1,994",Concrete,Packaged DX Units,,"2 @ 105 Ton
2 @ 90 Ton",VAV,,,,,,"CDB10, CDB11",AVHOAT,"Yin, Rongxin, Peng Xu, Mary Ann Piette, and Sila Kiliccote. 2010. “Study on Auto-DR and Pre-Cooling of Commercial Buildings with Thermal Mass in California.” Energy and Buildings 42(7):967–75."
81,Chabot Space & Science Center,CSSC,Oakland,CA,museum,Museum,,86000,,,,Concrete,rooftop AHU,centrifugal chiller,1@ 230Ton,7 VAV+1 CAV,,The pre-cooling and zone temperature reset strategies,,,,"CDB10, CDB11",baseline days for each test day were selected based on similarity of peak outside air temperature,"Xu, Peng and Leah Zagreus. 2007. Demand Shifting With Thermal Mass in Light and Heavy Mass Commercial Buildings."
82,OSF,OSF,Oakland,CA,Office+data center,Office+DataCenter,,90000,70000,1500,,has 4-inch concrete floors and very light walls.,2 AHU,,,,,,,,,"CDB10, CDB11",baseline days for each test day were selected based on similarity of peak outside air temperature,"Xu, Peng and Leah Zagreus. 2007. Demand Shifting With Thermal Mass in Light and Heavy Mass Commercial Buildings."
83,CHCCC,CHCCC,Visalia,CA,Office,Office,,87000,,,,,rooftop AHU,,8@ 50Ton,VAV,,The pre-cooling and zone temperature reset strategies,,,,"CDB10, CDB11",baseline days for each test day were selected based on similarity of peak outside air temperature,"Xu, P, Yin, R., Brown, C., & Kim, D. E. (2009). Demand Shifting with Thermal Mass in Large Commercial Buildings in a California Hot Climate Zone."
84,TCCSB,TCCSB,San Bernadino,CA,Office,Office,,104500,,,,,Packaged DX Units,,,VAV,,,,,,"CDB10, CDB11",baseline days for each test day were selected based on similarity of peak outside air temperature,
85,Santa Rosa Federal Building,,"Santa Rosa,",CA,Office,Office,,80000,,,,Concrete,chiller,,"3@ 75Ton
2@ 60Ton",VAV,,The pre-cooling and zone temperature reset strategies,,,,"CDB10, CDB11",baseline days for each test day were selected based on similarity of peak outside air temperature,"Xu, Peng, Haves, P., Piette, M., Berkeley National Laboratory, L., Zagreus, L., & of California at Berkeley, U. (2006). DEMAND SHIFTING WITH THERMAL MASS IN LARGE COMMERICAL BUILDINGS: FILED TESTS, SIMULATIONS AND AUDITS California Energy Commission."
86,McCuen One building,,,CA,Office+courtroom,Office,,84000,,,2001,,rooftop package units,,,VAV,,The pre-cooling and zone temperature reset strategies,,,,"CDB10, CDB11",baseline days for each test day were selected based on similarity of peak outside air temperature,
87,Retail C1,Retail C1,,CA,retail,Retail,,4000,,31,,,4 RTUs,,,,,"Pre-cool to 70 DegF 1 hr
prior to the event","Increase zone temperature setpoint to 78 DegF, turn
fans to AUTO mode, group RTUs by two's and15 min. duty cycle. Turn off 50% of 89-Watt fluorescent fixtures and 100% 32-Watt fluorescent U-tube
fixtures. Shut off hot water heater.","Stagger out slowly to
avoid a rebound",,"CDB10, CDA12, CDA40","CBP baseline model
Morning adjusted CBP
OAT regression","Schwarzenegger, A. (2008). AUTOMATION OF CAPACITY BIDDING WITH AN AGGREGATOR USING OPEN AUTOMATED DEMAND RESPONSE PIER FINAL PROJECT REPORT California Energy Commission."
88,Retail C2,Retail C2,,CA,,Retail,,5800,,59,,,4 RTUs,,,,,Pre-cool to 70 DegF 1 hr prior to the event,"Increase zone temperature setpoint to 78 DegF, turn fans to AUTO mode, group RTUs by two's and15 min. duty cycle. Turn off 75% of 89-Watt fluorescent fixtures and 50% 32-Watt fluorescent U-tube
fixtures. Shut off hot water heater.",Stagger out slowly to avoid a rebound,,"CDB10, CDA12, CDA40","CBP baseline model
Morning adjusted CBP
OAT regression","Schwarzenegger, A. (2008). AUTOMATION OF CAPACITY BIDDING WITH AN AGGREGATOR USING OPEN AUTOMATED DEMAND RESPONSE PIER FINAL PROJECT REPORT California Energy Commission."
89,Retail C3,Retail C3,,CA,,Retail,,5400,,62,,,4 RTUs,,,,,Pre-cool to 70 DegF 1 hr prior to the event,"Increase zone temperature setpoint to 78 DegF, turn fans to AUTO mode, group RTUs by two's and 15 min. duty cycle. Turn off 50% of 89-Watt fluorescent fixtures and 100% 32-Watt fluorescent U-tube
fixtures. Shut off hot water heater.",Stagger out slowly to avoid a rebound,,"CDB10, CDA12, CDA40","CBP baseline model
Morning adjusted CBP
OAT regression","Schwarzenegger, A. (2008). AUTOMATION OF CAPACITY BIDDING WITH AN AGGREGATOR USING OPEN AUTOMATED DEMAND RESPONSE PIER FINAL PROJECT REPORT California Energy Commission."
90,Retail C4,Retail C4,,CA,,Retail,,5000,,40,,,5 RTUs,,,,,Pre-cool to 70 DegF 1 hr prior to the event,"Increase zone temperature setpoint to 78 DegF, turn fans to AUTO mode, group RTUs by two's and 15 min. duty cycle. Turn off 50% of all lighting. Shut
off hot water heater.",Stagger out slowly to avoid a rebound,,"CDB10, CDA12, CDA40","CBP baseline model
Morning adjusted CBP
OAT regression","Schwarzenegger, A. (2008). AUTOMATION OF CAPACITY BIDDING WITH AN AGGREGATOR USING OPEN AUTOMATED DEMAND RESPONSE PIER FINAL PROJECT REPORT California Energy Commission."
91,Retail C5,Retail C5,,CA,,Retail,,4436,,10,,,4 RTUs,,,,,Pre-cool to 70 DegF 1 hr prior to the event,"Increase zone temperature setpoint to 78 DegF, turn fans to AUTO mode, group RTUs by two's and 15 min. duty cycle. Turn off 50% of 89-Watt fluorescent fixtures and 100% 32-Watt fluorescent U-tube fixtures and 100% halogen fixtures. Shut off hot
water heater.",Stagger out slowly to avoid a rebound,,"CDB10, CDA12, CDA40","CBP baseline model
Morning adjusted CBP
OAT regression","Schwarzenegger, A. (2008). AUTOMATION OF CAPACITY BIDDING WITH AN AGGREGATOR USING OPEN AUTOMATED DEMAND RESPONSE PIER FINAL PROJECT REPORT California Energy Commission."
92,,Retail C6,,CA,,Retail,,23000,,112,,,1 AHU,,,,,Pre-cool to 70 DegF 1 hr prior to the event,"Increase zone temperature setpoint to 78 DegF, disable the baler, shut off hot water heater. Turn off 50% of 59-Watt fluorescent fixtures.",No,,"CDB10, CDA12, CDA40","CBP baseline model
Morning adjusted CBP
OAT regression","Schwarzenegger, A. (2008). AUTOMATION OF CAPACITY BIDDING WITH AN AGGREGATOR USING OPEN AUTOMATED DEMAND RESPONSE PIER FINAL PROJECT REPORT California Energy Commission."
93,Albertsons,Albertsons,Oakland,CA,Supermarket,Supermarket,,50000,,50000,,,,,,,,"Reduce ambient lighting
Reduce Anti-
sweat Heaters",,,,"CDA40, CDA30","OAT regression (Whole-Building Level Method)
Component Level Method","Piette, M A, Watson, D. S., Motegi, N., & Bourassa, N. (2005). Findings from the 2004 Fully Automated Demand Response Tests in Large Facilities."
94,Bank of America,B of A,Concord,CA,Office (Retail),Office,,211000,,211000,,,,,,,,Reset duct static pressure,,,,CDA50,"OAT regression (Whole-Building Level Method)
Component Level Method","Piette, M A, Watson, D. S., Motegi, N., & Bourassa, N. (2005). Findings from the 2004 Fully Automated Demand Response Tests in Large Facilities."
95,GSA,GSA,Oakland,CA,Office,Office,,978000,978000,978000,,,,,,,,"Global zone set- point increase
Direct control of fans",,,,CDB10,"OAT regression (Whole-Building Level Method)
Component Level Method","Piette, M A, Watson, D. S., Motegi, N., & Bourassa, N. (2005). Findings from the 2004 Fully Automated Demand Response Tests in Large Facilities."
96,Roche,Roche,Palo Alto,CA,"Pharmaceutical laboratory
(Office/Cafeteria)",Office,3,192000,,192000,,,,,,,,Direct control of fans,,,,CDA11,"OAT regression (Whole-Building Level Method)
Component Level Method","Piette, M A, Watson, D. S., Motegi, N., & Bourassa, N. (2005). Findings from the 2004 Fully Automated Demand Response Tests in Large Facilities."
97,UCSB,UCSB,Santa Barbara,CA,Library,Library,,289000,,289000,,,,,,,,"Direct control of fans
Reset duct static pressure
Reset cooling and heating valves",,,,"CDA11, CDB50, CDB60","OAT regression (Whole-Building Level Method)
Component Level Method","Piette, M A, Watson, D. S., Motegi, N., & Bourassa, N. (2005). Findings from the 2004 Fully Automated Demand Response Tests in Large Facilities."
98,University of California at Merced,UCM,Merced,CA,,Education,,800000,,,,,,,,VAV,,chilled water storage + GTA,,,,"CDB10, CDA12","three-in-ten (3/10) baseline
morning-adjusted outside air
temperature regression (OAT_MA),","Granderson, J., Dudley, J. H., Kiliccote, S., & Piette, M. A. (2009). Chilled Water Storage System and Demand Response at the University of California at Merced and published in the Proceedings."
99,Taco Bell,,San Juan Capistrano,CA,restaurant,Restaurant,,2200,,,1994,,,,,,,precool+GTA,,,,"CDB10, CDB11","3/10_MA
OAT_MA
3/10","Kiliccote, S, Piette, M. A., Dudley, J. H., Koch, E., & Akuacom, D. H. (2009). Open Automated Demand Response for Small Commercial Buildings."
100,Taco Bell,,Hesperia,CA,,Restaurant,,2150,,,2006,,,,,,,,,,,"CDB10, CDB11","3/10_MA
OAT_MA
3/10","Kiliccote, S, Piette, M. A., Dudley, J. H., Koch, E., & Akuacom, D. H. (2009). Open Automated Demand Response for Small Commercial Buildings."
101,Large Commercial,Large Commercial,,Berkeley,Large Commercial,Office,,141000,,,,,,,,,,"Control of VAVs, fans, Lighting w/ a BAS",,,,"CDA40, CDA11","3/10_MA
OAT_MA
3/10","Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
102,Small Commercial 1,Small Commercial 1,San Jose,CA,Small Commercial 1,Office,,5900,,,,,,,,,,"Control of Tstats
(Split system)",,,,CDB10,OAT,"Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
103,Small Commercial 2,Small Commercial 2,San Jose,CA,Small Commercial 2,Office,,6250,,,,,,,,,,Control of Tstats,,,,CDB10,OAT,"Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
104,"Small Commercial
3","Small Commercial
3",San Jose,CA,"Small Commercial
3",Office,,14400,,,,,,,,,,Control of Tstats,,,,CDB10,OAT,"Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
105,Small Commercial 4,Small Commercial 4,San Jose,CA,Small Commercial 4,Office,,9500,,,,,,,,,,Control of Tstats,,,,CDB10,OAT,"Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
106,Residential 1,Residential 1,Stockton,CA,Residential 1,Residential,,2076,,,,,,,,,,"VRV limiting -
mini split system",,,,CDA12,OAT,"Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
107,"Residential
2","Residential
2",Stockton,CA,"Residential
2",Residential,,1690,,,,,,,,,,"compressor
off/on",,,,CDA12,OAT,"Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
108,"Residential
3","Residential
3",Stockton,CA,"Residential
3",Residential,,1140,,,,,,,,,,"compressor
off/on",,,,CDA12,OAT,"Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
109,Residential 4,Residential 4,Oakland,CA,Residential 4,Residential,,1400,,,,,,,,,,,,,,CDA12,OAT,"Kiliccote, Sila, Lanzisera, S., Liao, A., Schetrit, O., & Piette, M. A. (2014). Fast DR: Controlling Small Loads over the Internet."
110,McKinstry,McK,5005 3rd Avenue S,Seattle,office,Office,,100000,,347,,,23 RTU,,,7VAV+16 CAV,,Uniformly turn off half of the 23 roof-top units for 15 minutes and alternate with the remaining units every 15 minutes,Stage turning on equipment every 2 minutes,,,CDA12,OAT,"Kiliccote, S, Piette, M. A., & Dudley, J. H. (2009). Northwest Open Automated Demand Response Technology Demonstration Project."
111,Target-T1284,,302 NE Northgate Way,Seattle,retail,Retail,,165667,,685,2000,,RTU,,,VAV,,"Turn off 50% of sales area lights, turn off two out of 12 roof- top units and decrease setpoints by 2 ºF",,,,"CDB10, CDA40",Average of similar day baseline,"Kiliccote, S, Piette, M. A., & Dudley, J. H. (2009). Northwest Open Automated Demand Response Technology Demonstration Project."
112,Target-T0637,,2800 SW Barton St.,Seattle,retail,Retail,,99471,,225,1990,,RTU,,,VAV,,"Turn off 50% of sales area lights, turn off two out of 12 roof- top units and decrease setpoints by 2 ºF",,,,"CDB10, CDA40",Average of similar day baseline,"Kiliccote, S, Piette, M. A., & Dudley, J. H. (2009). Northwest Open Automated Demand Response Technology Demonstration Project."
113,Seattle Municipal tower,SMT,700 Fifth Avenue,Seattle,office,Office,,1200000,,6168,1989,,48 AHU,,,690 VAV,,Decrease setpoints from 72 F to 68 F on selected 24 floors out of 62 floors. Cycle VAV boxes (690) and corresponding air handling units (AHUs) (48).,Set setpoints back 1F every 15 minutes and bring back quarter of the equipment on line every five minutes.,,,CDB10,Average of similar day baseline,"Kiliccote, S, Piette, M. A., & Dudley, J. H. (2009). Northwest Open Automated Demand Response Technology Demonstration Project."
114,Seattle University,SU,901 12th Avenue,Seattle,education,Education,,99840,,841,2001,,4 AHU,,,102 VAV,,Pre-heat at 5 am at 74 F (only on the day-ahead days because pending signal for day-of events are received at 6 am) Decrease set point to 68 F. Cycle cabinet heaters (7) and unit heaters (2) 20 minutes every 30 minute. Cycle through half of variable air volume (VAV)/Air terminal boxes (75) and AHU fans (4) every half hour. Set CO2 setpoint up by 200 ppm. Turn off hot water panel radiator.,"Return setpoints to original levels (maximum rate of setpoint change is 1F per 15 minutes) and turn half of units on, then turn remainder of units on five minutes later",,,CDB10,Average of similar day baseline,"Kiliccote, S, Piette, M. A., & Dudley, J. H. (2009). Northwest Open Automated Demand Response Technology Demonstration Project."
115,NY Office 1,,,NY,office,Office,0.51,160000,1400000,6190,,,,,"3@1350 ton
1@900 ton",CAV with reheat,,Table 4 summarized,,,,"CDB10, CDA40, CDA13",NYISO's Weather-Sensitive Customer Baseline6,"Kim, Joyce Jihyun, Rongxin Yin, and Sila Kiliccote. 2013. LBNL-6470E Automated Demand Response Technologies and Demonstration in New York City Using OpenADR."
116,NY Office 2,,,NY,office,Office,0.52,1700000,,3940,,,,,"1@2300 ton
1@2100 ton
1@1600 ton",VAV with reheat,,,,,,"CDB10, CDA40, CDA13",NYISO's Weather-Sensitive Customer Baseline7,"Kim, Joyce Jihyun, Rongxin Yin, and Sila Kiliccote. 2013. LBNL-6470E Automated Demand Response Technologies and Demonstration in New York City Using OpenADR."
117,NY Office 3,,,NY,office,Office,,1400000,,4640,,,VSD,,1@400 ton,VAV with reheat,,,,,,"CDB10, CDA40, CDA13",NYISO's Weather-Sensitive Customer Baseline8,"Kim, Joyce Jihyun, Rongxin Yin, and Sila Kiliccote. 2013. LBNL-6470E Automated Demand Response Technologies and Demonstration in New York City Using OpenADR."
118,NYU,,,NY,campus,Education,0.39,122000,,600,,,VSD,,1@400 ton,VAV with reheat,,,,,,"CDB10, CDA40, CDA13",NYISO's Weather-Sensitive Customer Baseline9,"Kim, Joyce Jihyun, Rongxin Yin, and Sila Kiliccote. 2013. LBNL-6470E Automated Demand Response Technologies and Demonstration in New York City Using OpenADR."
